neighbourhood_group,average_price,average_minimum_nights,total_listings
Bronx,87.4967919340055,3.722273143904675,1091
Brooklyn,124.38320732192598,5.32391563867887,20104
Manhattan,196.8758136743456,7.3794376990905315,21661
Queens,99.51764913519237,4.70490645958348,5666
Staten Island,114.81233243967829,3.973190348525469,373
